iso_code,name_fr,continent,date,new_deaths_smoothed_per_million
ARG,Argentine,South America,2020-10-10,8.806
ARG,Argentine,South America,2020-10-11,9.008
ARG,Argentine,South America,2020-10-12,8.591
ARG,Argentine,South America,2020-10-13,8.677
ARG,Argentine,South America,2020-10-14,8.518
ARG,Argentine,South America,2020-10-15,8.319
ARG,Argentine,South America,2020-10-16,7.896
ARG,Argentine,South America,2020-10-17,7.984
ARG,Argentine,South America,2020-10-18,7.583
ARG,Argentine,South America,2020-10-19,7.997
ARG,Argentine,South America,2020-10-20,7.991
ARG,Argentine,South America,2020-10-21,8.212
ARG,Argentine,South America,2020-10-22,8.266
ARG,Argentine,South America,2020-10-23,8.266
ARG,Argentine,South America,2020-10-24,7.921
ARG,Argentine,South America,2020-10-25,8.31
ARG,Argentine,South America,2020-10-26,8.171
ARG,Argentine,South America,2020-10-27,8.313
ARG,Argentine,South America,2020-10-28,8.066
ARG,Argentine,South America,2020-10-29,7.855
ARG,Argentine,South America,2020-10-30,7.757
ARG,Argentine,South America,2020-10-31,7.551
ARG,Argentine,South America,2020-11-01,7.093
ARG,Argentine,South America,2020-11-02,7.339
ARG,Argentine,South America,2020-11-03,7.339
ARG,Argentine,South America,2020-11-04,7.741
ARG,Argentine,South America,2020-11-05,7.346
ARG,Argentine,South America,2020-11-06,7.409
ARG,Argentine,South America,2020-11-07,7.415
ARG,Argentine,South America,2020-11-08,7.649
ARG,Argentine,South America,2020-11-09,7.219
ARG,Argentine,South America,2020-11-10,6.736
ARG,Argentine,South America,2020-11-11,6.356
ARG,Argentine,South America,2020-11-12,6.372
ARG,Argentine,South America,2020-11-13,6.034
ARG,Argentine,South America,2020-11-14,6.192
ARG,Argentine,South America,2020-11-15,5.93
ARG,Argentine,South America,2020-11-16,5.753
ARG,Argentine,South America,2020-11-17,6.078
ARG,Argentine,South America,2020-11-18,5.74
ARG,Argentine,South America,2020-11-19,5.531
ARG,Argentine,South America,2020-11-20,5.516
ARG,Argentine,South America,2020-11-21,5.042
ARG,Argentine,South America,2020-11-22,4.95
ARG,Argentine,South America,2020-11-23,4.409
ARG,Argentine,South America,2020-11-24,4.191
ARG,Argentine,South America,2020-11-25,4.321
ARG,Argentine,South America,2020-11-26,4.454
ARG,Argentine,South America,2020-11-27,4.507
ARG,Argentine,South America,2020-11-28,4.488
ARG,Argentine,South America,2020-11-29,4.65
ARG,Argentine,South America,2020-11-30,5.083
ARG,Argentine,South America,2020-12-01,4.729
ARG,Argentine,South America,2020-12-02,4.558
ARG,Argentine,South America,2020-12-03,4.311
ARG,Argentine,South America,2020-12-04,4.096
ARG,Argentine,South America,2020-12-05,4.141
ARG,Argentine,South America,2020-12-06,4.1
ARG,Argentine,South America,2020-12-07,3.66
ARG,Argentine,South America,2020-12-08,3.417
ARG,Argentine,South America,2020-12-09,3.369
ARG,Argentine,South America,2020-12-10,3.559
ARG,Argentine,South America,2020-12-11,3.458
ARG,Argentine,South America,2020-12-12,3.275
ARG,Argentine,South America,2020-12-13,3.148
ARG,Argentine,South America,2020-12-14,3.644
ARG,Argentine,South America,2020-12-15,3.777
ARG,Argentine,South America,2020-12-16,3.613
ARG,Argentine,South America,2020-12-17,3.486
ARG,Argentine,South America,2020-12-18,3.369
ARG,Argentine,South America,2020-12-19,3.461
ARG,Argentine,South America,2020-12-20,3.309
ARG,Argentine,South America,2020-12-21,3.022
ARG,Argentine,South America,2020-12-22,3.319
ARG,Argentine,South America,2020-12-23,3
ARG,Argentine,South America,2020-12-24,2.465
ARG,Argentine,South America,2020-12-25,2.371
ARG,Argentine,South America,2020-12-26,2.333
ARG,Argentine,South America,2020-12-27,2.646
ARG,Argentine,South America,2020-12-28,2.753
ARG,Argentine,South America,2020-12-29,2.415
ARG,Argentine,South America,2020-12-30,2.684
ARG,Argentine,South America,2020-12-31,2.943
ARG,Argentine,South America,2021-01-01,2.835
ARG,Argentine,South America,2021-01-02,2.763
ARG,Argentine,South America,2021-01-03,2.63
ARG,Argentine,South America,2021-01-04,2.421
ARG,Argentine,South America,2021-01-05,2.424
ARG,Argentine,South America,2021-01-06,2.57
ARG,Argentine,South America,2021-01-07,2.772
ARG,Argentine,South America,2021-01-08,3.015
ARG,Argentine,South America,2021-01-09,3.294
ARG,Argentine,South America,2021-01-10,3.202
ARG,Argentine,South America,2021-01-11,3.224
ARG,Argentine,South America,2021-01-12,3.36
ARG,Argentine,South America,2021-01-13,3.183
ARG,Argentine,South America,2021-01-14,3.17
ARG,Argentine,South America,2021-01-15,3.015
ARG,Argentine,South America,2021-01-16,2.775
ARG,Argentine,South America,2021-01-17,2.883
ARG,Argentine,South America,2021-01-18,3.723
ARG,Argentine,South America,2021-01-19,3.85
ARG,Argentine,South America,2021-01-20,3.897
ARG,Argentine,South America,2021-01-21,3.888
ARG,Argentine,South America,2021-01-22,4.261
ARG,Argentine,South America,2021-01-23,4.558
ARG,Argentine,South America,2021-01-24,4.488
ARG,Argentine,South America,2021-01-25,3.799
ARG,Argentine,South America,2021-01-26,3.752
ARG,Argentine,South America,2021-01-27,3.853
ARG,Argentine,South America,2021-01-28,3.938
ARG,Argentine,South America,2021-01-29,3.793
ARG,Argentine,South America,2021-01-30,3.774
ARG,Argentine,South America,2021-01-31,3.625
ARG,Argentine,South America,2021-02-01,3.84
ARG,Argentine,South America,2021-02-02,3.708
ARG,Argentine,South America,2021-02-03,3.49
ARG,Argentine,South America,2021-02-04,3.474
ARG,Argentine,South America,2021-02-05,3.825
ARG,Argentine,South America,2021-02-06,3.727
ARG,Argentine,South America,2021-02-07,3.784
ARG,Argentine,South America,2021-02-08,3.632
ARG,Argentine,South America,2021-02-09,3.603
ARG,Argentine,South America,2021-02-10,3.588
ARG,Argentine,South America,2021-02-11,3.711
ARG,Argentine,South America,2021-02-12,3.3
ARG,Argentine,South America,2021-02-13,3.407
ARG,Argentine,South America,2021-02-14,3.366
ARG,Argentine,South America,2021-02-15,2.936
ARG,Argentine,South America,2021-02-16,2.737
ARG,Argentine,South America,2021-02-17,2.978
ARG,Argentine,South America,2021-02-18,3.107
ARG,Argentine,South America,2021-02-19,3.069
ARG,Argentine,South America,2021-02-20,2.952
ARG,Argentine,South America,2021-02-21,3.041
ARG,Argentine,South America,2021-02-22,3.262
ARG,Argentine,South America,2021-02-23,3.407
ARG,Argentine,South America,2021-02-24,3.268
ARG,Argentine,South America,2021-02-25,2.965
ARG,Argentine,South America,2021-02-26,2.804
ARG,Argentine,South America,2021-02-27,2.605
ARG,Argentine,South America,2021-02-28,2.424
ARG,Argentine,South America,2021-03-01,2.269
ARG,Argentine,South America,2021-03-02,2.156
ARG,Argentine,South America,2021-03-03,2.538
ARG,Argentine,South America,2021-03-04,2.684
ARG,Argentine,South America,2021-03-05,2.835
ARG,Argentine,South America,2021-03-06,2.921
ARG,Argentine,South America,2021-03-07,2.892
ARG,Argentine,South America,2021-03-08,3.3
ARG,Argentine,South America,2021-03-09,3.351
ARG,Argentine,South America,2021-03-10,2.864
ARG,Argentine,South America,2021-03-11,2.684
ARG,Argentine,South America,2021-03-12,2.51
ARG,Argentine,South America,2021-03-13,2.453
ARG,Argentine,South America,2021-03-14,2.497
ARG,Argentine,South America,2021-03-15,2.26
ARG,Argentine,South America,2021-03-16,2.478
ARG,Argentine,South America,2021-03-17,2.756
ARG,Argentine,South America,2021-03-18,2.823
ARG,Argentine,South America,2021-03-19,2.838
ARG,Argentine,South America,2021-03-20,2.753
ARG,Argentine,South America,2021-03-21,2.766
ARG,Argentine,South America,2021-03-22,2.639
ARG,Argentine,South America,2021-03-23,2.488
ARG,Argentine,South America,2021-03-24,2.26
ARG,Argentine,South America,2021-03-25,2.232
ARG,Argentine,South America,2021-03-26,2.399
ARG,Argentine,South America,2021-03-27,2.69
ARG,Argentine,South America,2021-03-28,2.857
ARG,Argentine,South America,2021-03-29,2.971
ARG,Argentine,South America,2021-03-30,2.886
ARG,Argentine,South America,2021-03-31,2.883
ARG,Argentine,South America,2021-04-01,2.684
ARG,Argentine,South America,2021-04-02,2.491
ARG,Argentine,South America,2021-04-03,2.333
ARG,Argentine,South America,2021-04-04,2.371
ARG,Argentine,South America,2021-04-05,2.718
ARG,Argentine,South America,2021-04-06,2.838
ARG,Argentine,South America,2021-04-07,3.079
ARG,Argentine,South America,2021-04-08,3.733
ARG,Argentine,South America,2021-04-09,4.194
ARG,Argentine,South America,2021-04-10,4.871
ARG,Argentine,South America,2021-04-11,4.994
ARG,Argentine,South America,2021-04-12,4.697
ARG,Argentine,South America,2021-04-13,4.868
ARG,Argentine,South America,2021-04-14,5.405
ARG,Argentine,South America,2021-04-15,5.699
ARG,Argentine,South America,2021-04-16,5.481
ARG,Argentine,South America,2021-04-17,4.795
ARG,Argentine,South America,2021-04-18,4.58
ARG,Argentine,South America,2021-04-19,4.801
ARG,Argentine,South America,2021-04-20,5.114
ARG,Argentine,South America,2021-04-21,4.871
ARG,Argentine,South America,2021-04-22,5.358
ARG,Argentine,South America,2021-04-23,6.613
ARG,Argentine,South America,2021-04-24,7.302
ARG,Argentine,South America,2021-04-25,7.637
ARG,Argentine,South America,2021-04-26,8.253
ARG,Argentine,South America,2021-04-27,8.873
ARG,Argentine,South America,2021-04-28,9.053
ARG,Argentine,South America,2021-04-29,9.129
ARG,Argentine,South America,2021-04-30,8.5
ARG,Argentine,South America,2021-05-01,8.288
ARG,Argentine,South America,2021-05-02,8.244
ARG,Argentine,South America,2021-05-03,8.55
ARG,Argentine,South America,2021-05-04,8.228
ARG,Argentine,South America,2021-05-05,9.223
ARG,Argentine,South America,2021-05-06,8.708
ARG,Argentine,South America,2021-05-07,9.505
ARG,Argentine,South America,2021-05-08,9.312
ARG,Argentine,South America,2021-05-09,9.713
ARG,Argentine,South America,2021-05-10,9.574
ARG,Argentine,South America,2021-05-11,9.827
ARG,Argentine,South America,2021-05-12,9.299
ARG,Argentine,South America,2021-05-13,9.454
ARG,Argentine,South America,2021-05-14,9.422
ARG,Argentine,South America,2021-05-15,10.149
ARG,Argentine,South America,2021-05-16,10.105
ARG,Argentine,South America,2021-05-17,10.134
ARG,Argentine,South America,2021-05-18,10.937
ARG,Argentine,South America,2021-05-19,10.93
ARG,Argentine,South America,2021-05-20,10.889
ARG,Argentine,South America,2021-05-21,11.183
ARG,Argentine,South America,2021-05-22,10.858
ARG,Argentine,South America,2021-05-23,11.193
ARG,Argentine,South America,2021-05-24,10.914
BRA,Brésil,South America,2020-02-26,NA
BRA,Brésil,South America,2020-02-27,NA
BRA,Brésil,South America,2020-02-28,NA
BRA,Brésil,South America,2020-02-29,NA
BRA,Brésil,South America,2020-03-01,NA
BRA,Brésil,South America,2020-03-02,0
BRA,Brésil,South America,2020-03-03,0
BRA,Brésil,South America,2020-03-04,0
BRA,Brésil,South America,2020-03-05,0
BRA,Brésil,South America,2020-03-06,0
BRA,Brésil,South America,2020-03-07,0
BRA,Brésil,South America,2020-03-08,0
BRA,Brésil,South America,2020-03-09,0
BRA,Brésil,South America,2020-03-10,0
BRA,Brésil,South America,2020-03-11,0
BRA,Brésil,South America,2020-03-12,0
BRA,Brésil,South America,2020-03-13,0
BRA,Brésil,South America,2020-03-14,0
BRA,Brésil,South America,2020-03-15,0
BRA,Brésil,South America,2020-03-16,0
BRA,Brésil,South America,2020-03-17,0.001
BRA,Brésil,South America,2020-03-18,0.002
BRA,Brésil,South America,2020-03-19,0.004
BRA,Brésil,South America,2020-03-20,0.007
BRA,Brésil,South America,2020-03-21,0.01
BRA,Brésil,South America,2020-03-22,0.017
BRA,Brésil,South America,2020-03-23,0.023
BRA,Brésil,South America,2020-03-24,0.03
BRA,Brésil,South America,2020-03-25,0.038
BRA,Brésil,South America,2020-03-26,0.048
BRA,Brésil,South America,2020-03-27,0.054
BRA,Brésil,South America,2020-03-28,0.065
BRA,Brésil,South America,2020-03-29,0.075
BRA,Brésil,South America,2020-03-30,0.084
BRA,Brésil,South America,2020-03-31,0.104
BRA,Brésil,South America,2020-04-01,0.122
BRA,Brésil,South America,2020-04-02,0.166
BRA,Brésil,South America,2020-04-03,0.179
BRA,Brésil,South America,2020-04-04,0.224
BRA,Brésil,South America,2020-04-05,0.235
BRA,Brésil,South America,2020-04-06,0.272
BRA,Brésil,South America,2020-04-07,0.326
BRA,Brésil,South America,2020-04-08,0.389
BRA,Brésil,South America,2020-04-09,0.421
BRA,Brésil,South America,2020-04-10,0.469
BRA,Brésil,South America,2020-04-11,0.456
BRA,Brésil,South America,2020-04-12,0.495
BRA,Brésil,South America,2020-04-13,0.513
BRA,Brésil,South America,2020-04-14,0.569
BRA,Brésil,South America,2020-04-15,0.616
BRA,Brésil,South America,2020-04-16,0.655
BRA,Brésil,South America,2020-04-17,0.729
BRA,Brésil,South America,2020-04-18,0.827
BRA,Brésil,South America,2020-04-19,0.833
BRA,Brésil,South America,2020-04-20,0.846
BRA,Brésil,South America,2020-04-21,0.813
BRA,Brésil,South America,2020-04-22,0.786
BRA,Brésil,South America,2020-04-23,0.946
BRA,Brésil,South America,2020-04-24,1.05
BRA,Brésil,South America,2020-04-25,1.145
BRA,Brésil,South America,2020-04-26,1.226
BRA,Brésil,South America,2020-04-27,1.355
BRA,Brésil,South America,2020-04-28,1.574
BRA,Brésil,South America,2020-04-29,1.752
BRA,Brésil,South America,2020-04-30,1.798
BRA,Brésil,South America,2020-05-01,1.82
BRA,Brésil,South America,2020-05-02,1.817
BRA,Brésil,South America,2020-05-03,1.858
BRA,Brésil,South America,2020-05-04,1.858
BRA,Brésil,South America,2020-05-05,1.919
BRA,Brésil,South America,2020-05-06,2.067
BRA,Brésil,South America,2020-05-07,2.14
BRA,Brésil,South America,2020-05-08,2.423
BRA,Brésil,South America,2020-05-09,2.618
BRA,Brésil,South America,2020-05-10,2.737
BRA,Brésil,South America,2020-05-11,2.881
BRA,Brésil,South America,2020-05-12,3.04
BRA,Brésil,South America,2020-05-13,3.127
BRA,Brésil,South America,2020-05-14,3.232
BRA,Brésil,South America,2020-05-15,3.323
BRA,Brésil,South America,2020-05-16,3.364
BRA,Brésil,South America,2020-05-17,3.357
BRA,Brésil,South America,2020-05-18,3.495
BRA,Brésil,South America,2020-05-19,3.711
BRA,Brésil,South America,2020-05-20,3.776
BRA,Brésil,South America,2020-05-21,4.065
BRA,Brésil,South America,2020-05-22,4.09
BRA,Brésil,South America,2020-05-23,4.268
BRA,Brésil,South America,2020-05-24,4.401
BRA,Brésil,South America,2020-05-25,4.449
BRA,Brésil,South America,2020-05-26,4.388
BRA,Brésil,South America,2020-05-27,4.529
BRA,Brésil,South America,2020-05-28,4.508
BRA,Brésil,South America,2020-05-29,4.59
BRA,Brésil,South America,2020-05-30,4.584
BRA,Brésil,South America,2020-05-31,4.468
BRA,Brésil,South America,2020-06-01,4.344
BRA,Brésil,South America,2020-06-02,4.494
BRA,Brésil,South America,2020-06-03,4.671
BRA,Brésil,South America,2020-06-04,4.884
